Restaurant_name,Restaurant_location,Restaurant_cuisine,Restaurant_score,Number_of_reviews
Tor Eins,Kreuzberg,International Restaurant,5.3,3.0
Les Climats,Tiergarten,French Restaurant,5.1,7.0
XUDU,Kreuzberg,Asian Restaurant,,
Agatha Hopfen,Friedrichshain,International Restaurant,,
Coronita Mexicana,Prenzlauer Berg,Mexican Restaurant,,
Yo Pho,Kreuzberg,Asian Restaurant,3.0,1.0
Brocca Café - The healthy Co.,Prenzlauer Berg,International Restaurant,,
Mayfair Garden,Friedrichshain,German Restaurant,5.3,4.0
Kane Mam,Friedrichshain,Greek Restaurant,5.9,8.0
Restaurant Neumann's,Moabit,International Restaurant,4.0,4.0
Emira Berlin Vegan Sushi Restaurant,Prenzlauer Berg,Japanese Restaurant,,
Weinverein Am Berg,Kreuzberg,French Restaurant,5.0,6.0
En Elladi - Griechische Taverna,Prenzlauer Berg,Greek Restaurant,,
NGON21,Friedrichshain,Vietnamese Restaurant,,
Schwiliko,Kreuzberg,Georgian Restaurant,,
IL PIZZAIOLO,Kreuzberg,Neapolitan Restaurant,,
REDSDeli,Kreuzberg,Mediterranean Restaurant,5.8,5.0
Kashmir,Friedrichshain,Indian Restaurant,,
Two Friends Friedrichshain,Friedrichshain,Burgers,,
Fjord by Munch's Hus,Schöneberg,Nordic Restaurant,5.0,14.0
QB Vegan,Neukölln,Vietnamese Restaurant,5.0,3.0
Cargo Gastronomia,Friedrichshain,International Restaurant,5.2,5.0
NemNem Restaurant,Pankow,Asian Restaurant,5.3,3.0
Kramer Restaurant,Neukölln,Mediterranean Restaurant,,
Prenzl Burger,Prenzlauer Berg,Burgers,,
Persepolis,Schöneberg,Persian Restaurant,5.0,8.0
Seasons,Mitte,Vietnamese Restaurant,,
90's Vietnamese Tapas & Sushi,Friedrichshain,Vietnamese Restaurant,5.4,5.0
MithoCha! Neukölln,Neukölln,Nepalese Restaurant,4.0,2.0
Café Brunchella,Friedrichshain,International Restaurant,,
La Stazione,Friedrichshain,Italian Restaurant,5.0,4.0
Swadishta,Mitte,Indian Restaurant,4.0,2.0
Three dudes next door,Neukölln,Burgers,0.0,1.0
MIO-1989,Friedrichshain,Vietnamese Restaurant,,
